opDate,Unnamed: 0,rzmre,rzye,rqmcl,rqyl,rqye,rzrqye
2011-07-07,0,771672181,11023782815,2110393,9459475,158077627,11181860442
2011-07-08,0,570749568,11034924076,2253205,9773068,165649453,11200573529
2011-07-11,0,538871856,11147082779,2617622,10197896,177397049,11324479828
2011-07-12,0,774510011,11257709888,3270521,8179953,147467902,11405177790
2011-07-13,0,624865462,11403111427,3804598,8765883,159804813,11562916240
2011-07-14,0,725065985,11482859692,2388569,8378219,151179153,11634038845
2011-07-15,0,898543999,11715012145,3863296,8477096,151781964,11866794109
2011-07-18,0,645687753,11847069866,2177084,8210233,160582247,12007652113
2011-07-19,0,633576158,11887352518,2922018,8829181,168507839,12055860357
2011-07-20,0,608793635,11969645857,1344179,8906287,173107385,12142753242
2011-07-21,0,521174200,11918498591,1693529,8060776,169346593,12087845184
2011-07-22,0,479994271,12000906035,1499956,7960196,171609705,12172515740
2011-07-25,0,721456927,12082007843,2124276,7594630,154747661,12236755504
2011-07-26,0,505412900,12198842714,2221696,7641989,153116998,12351959712
2011-07-27,0,526362797,12278036801,2050673,7862996,165178514,12443215315
2011-07-28,0,513636207,12315292855,2547483,7646839,163091692,12478384547
2011-07-29,0,533082220,12346335405,2186269,7483484,151287801,12497623206
2011-08-01,0,486533796,12511992735,1591395,7319415,151045546,12663038281
2011-08-02,0,492176705,12565646294,3946340,8428264,157101288,12722747582
2011-08-03,0,498803840,12667762532,3100124,8269913,161021390,12828783922
2011-08-04,0,314843449,12542989893,2145739,8531178,165733944,12708723837
2011-08-05,0,532262164,12584973661,1955871,7996993,156643024,12741616685
2011-08-08,0,548864625,12506083382,3948161,7919028,152745862,12658829244
2011-08-09,0,640792513,12554353509,4894506,7718177,136723788,12691077297
2011-08-10,0,642473416,12609118948,5188302,8879067,160459798,12769578746
2011-08-11,0,598716149,12646698642,4364855,8813056,157597584,12804296226
2011-08-12,0,522187381,12663181393,2915183,7861570,150533921,12813715314
2011-08-15,0,582106273,12706286309,3722031,8258537,150961675,12857247984
2011-08-16,0,526562981,12800235731,2869557,8998812,165074366,12965310097
2011-08-17,0,372731554,12867051367,2559281,9068428,169203401,13036254768
2011-08-18,0,350141455,12843274512,1998975,8231164,156737946,13000012458
2011-08-19,0,424856622,12813663645,2648014,7753329,153503662,12967167307
2011-08-22,0,407720158,12917933466,2473326,8245382,151980451,13069913917
2011-08-23,0,338786282,13008603198,2517792,8008782,151418967,13160022165
2011-08-24,0,411853026,12992198798,3196962,8877593,172345531,13164544329
2011-08-25,0,641927808,12966151646,4096544,9003541,163043644,13129195290
2011-08-26,0,495795320,12998328619,2381431,9084017,165821400,13164150019
2011-08-29,0,501890644,13115362772,1817620,8379435,163316575,13278679347
2011-08-30,0,473450355,13165406587,2784069,8806929,163336462,13328743049
2011-08-31,0,361553024,13151701562,2018275,7896517,155437380,13307138942
2011-09-01,0,317893118,13085935843,2082890,8247760,162611062,13248546905
2011-09-02,0,342035225,13143378511,3160032,8799773,166965721,13310344232
2011-09-05,0,365670313,13163818271,3733588,9052466,163814511,13327632782
2011-09-06,0,354898288,13193017429,2963572,6891849,138487190,13331504619
2011-09-07,0,444743852,13243431882,3022679,7597138,154045652,13397477534
2011-09-08,0,333326486,13259290654,1601492,6919820,146865912,13406156566
2011-09-09,0,314255268,13165696545,2048116,6742764,141395513,13307092058
2011-09-13,0,308573948,13186217981,2204325,6591234,134280864,13320498845
2011-09-14,0,318252955,13216435369,2431035,6565290,134921624,13351356993
2011-09-15,0,268789514,13116137508,2217985,6846473,138789344,13254926852
2011-09-16,0,263326197,13075681234,3644899,7431371,148982989,13224664223
2011-09-19,0,283491200,13066855821,3251506,8740618,166410388,13233266209
2011-09-20,0,288162571,13091791121,3793110,9031706,161882194,13253673315
2011-09-21,0,597571192,13127630687,4620725,9204908,167168347,13294799034
2011-09-22,0,522373710,13159347001,2834345,8508747,148691116,13308038117
2011-09-23,0,462384456,13130332226,5052897,7284341,135302343,13265634569
2011-09-26,0,327451337,13019087690,3074625,7568388,134679661,13153767351
2011-09-27,0,470337320,13073222366,3671410,7549554,146448379,13219670745
2011-09-28,0,373063081,13001582631,3340209,6141246,129508571,13131091202
2011-09-29,0,313106463,12907471669,3871050,5203792,104475867,13011947536
2011-09-30,0,321934069,12708054431,2858990,4927251,101229323,12809283754
2011-10-10,0,343229734,12749251104,3787135,6026992,117931605,12867182709
2011-10-11,0,624481653,12862806637,7302342,7834144,138437194,13001243831
2011-10-12,0,614621117,12862611420,6806925,9601603,153614927,13016226347
2011-10-13,0,606740009,12928417090,5376413,9550993,151461014,13079878104
2011-10-14,0,411715365,12909298419,4121595,9751272,158895932,13068194351
2011-10-17,0,465068616,12959984618,5124210,10609474,171793062,13131777680
2011-10-18,0,482942560,12950558775,5057280,10241471,172332531,13122891306
2011-10-19,0,382314048,13032991247,5153901,10167863,164765676,13197756923
2011-10-20,0,406782458,13015509880,5417514,9120780,155488351,13170998231
2011-10-21,0,245984683,12967132593,4946618,9293524,154068704,13121201297
2011-10-24,0,486514785,12975957595,6400100,10028093,171409156,13147366751
2011-10-25,0,619624708,12947936169,7025741,10685703,177974430,13125910599
2011-10-26,0,806093013,12995046025,8006484,12882177,199957926,13195003951
2011-10-27,0,539300085,13060104258,5170075,12160499,193069204,13253173462
2011-10-28,0,833614803,12994092888,9673105,13646457,215171710,13209264598
2011-10-31,0,718635762,13165411635,6538972,13586172,210601108,13376012743
2011-11-01,0,712994339,13323204123,6290071,13302128,209583713,13532787836
2011-11-02,0,1002743346,13673114117,7533208,12022823,189695927,13862810044
2011-11-03,0,1218755974,13802913329,7127790,12599045,207340316,14010253645
2011-11-04,0,819509673,13900032653,6149572,12363879,202577494,14102610147
2011-11-07,0,631477864,14027479889,4420826,12333580,202319122,14229799011
2011-11-08,0,535578173,14102856843,5410408,10402089,178523165,14281380008
2011-11-09,0,665575257,14315725927,5198938,10245513,181358681,14497084608
2011-11-10,0,724582831,14402816294,6136879,10099028,175799816,14578616110
2011-11-11,0,521892041,14449154144,6457551,10531682,170119850,14619273994
2011-11-14,0,800085162,14596224492,6902521,12222758,199747357,14795971849
2011-11-15,0,573210169,14737211952,3750449,11384119,193402265,14930614217
2011-11-16,0,665327271,14691379248,5549425,9780932,175937023,14867316271
2011-11-17,0,516586761,14806217702,6486118,11852898,198557299,15004775001
2011-11-18,0,540740278,14798574694,6159747,10541887,172877446,14971452140
